,pred,avg_excess_ret,std_excess_ret,SR
OLS_0,0.0035165761274538617,0.001901849645922541,0.03127018728261898,0.965485972054439
OLS_1,0.0036308541055307237,0.0016495862301028818,0.029710716139231073,0.8813779332459566
OLS_2,0.0051079741673856855,0.0017142974678934805,0.031092449564680793,0.8752487829172648
OLS_3,0.003960582774537838,0.0020094320011819797,0.033460158183628214,0.9533351257538885
OLS_4,0.014533309953060644,0.001248123790574216,0.03778612291562388,0.5243552236343192
OLS_5,0.021293725533312668,0.0008242337256794061,0.036875947999709696,0.35481948185149437
ridge_0,0.003510746570208721,0.0019253821457323231,0.031206057392211793,0.9794410628065429
ridge_1,0.0036217647273577448,0.0016920322526660242,0.029805510075964763,0.9011816686468437
ridge_2,0.00510110109461687,0.0017215772512533512,0.031078962034063316,0.8793469868028956
ridge_3,0.003954969069647362,0.002003159096914435,0.033460647015744895,0.950345186888672
ridge_4,0.014128800259356889,0.0010919867193913031,0.03830784430507295,0.4525118048647911
ridge_5,0.02096288431092351,0.0007186102538537723,0.0370302280344925,0.30806140640135
lasso_0,0.001242581386950112,7.443075887557142e-05,0.019319391000401646,0.06115884642776208
lasso_1,0.0015904185110885893,0.0008946498597182765,0.024041358485742674,0.5907372598841545
lasso_2,0.0025808334693152996,0.0008483324219029709,0.02494954659763175,0.5397637048077101
lasso_3,0.0018577701089534672,0.00025079170692855746,0.020776443926163197,0.19162061316223306
lasso_4,0.005864021663818403,0.0009854233864809601,0.035113500175802746,0.4455013377217849
lasso_5,0.004203755836838127,0.0010509277753988449,0.02675729652825974,0.6234920340309568
